;INVENTARIO DE PRODUCTOS;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;CODIGO;NOMBRE;CATEGORIA;FABRICANTE;DESCRIPCIÓN; PRECIO VENTA ; PRECIO COMPRA ; UNIDAD ;STOCK EN ALMACEN;FECHA INGRESO;ENTRADA;SALIDA;STOCK; IMPORTE INVENTARIO ; PROVEEDOR ; Columna1 
;R_0074;Barniz Marino;;Paracas;;;;Gl;26;;0;0;26; S/. -   ;;
;R_0075;BARNIZ ROBLE;;ISSA;PARA MADERA ROBLE;S/ 55.00;S/ 44.20; GALON ;4;1/07/2024;0;0;4; S/. 220.00 ;;
;R_0076;Barniz Roble;;Martell;;;;Gl;1;;0;0;1; S/. -   ;;
;R_0077;Baygon espiral;;baygon;mata mosquitos;S/ 0.70;S/ 0.34; unidad ;20;17/05/2024;0;0;20; S/. 14.00 ;;
;R_0078;Bencina solvente;;derquin;galon 3.3L;S/ 22.00;S/ 18.00;und;4;;0;0;4; S/. 88.00 ;;
;R_0079;"Bisagra 1""";;Halcon;Bisagra remachada;;;caja(12par);2;;0;0;2; S/. -   ;;
;R_0080;Bisagra 2 1/2;;Sigma;2 1/2;;;caja(12par);1.4;;0;0;1.4; S/. -   ;;
;R_0081;Bisagra 4;; ;P / escalera;S/ 10.00;S/ 6.50; par ;24;15/02/2025;0;0;24; S/. 240.00 ;;
;R_0082;Bisagra 6;;;p/ Escalera;S/ 10.00;S/ 6.50; par ;12;24/02/2025;0;0;12; S/. 120.00 ;Negociaciones generales cia;
;R_0083;Bisagra Ajustable de reten;;Aster;INTERIOR;;;unidad;3;;0;0;3; S/. -   ;;
;R_0084;Bisagra Capuch 3;;Rino;caja 12 par;S/ 24.00;;caja(6par);17;;0;0;17; S/. 408.00 ;;
;R_0085;Bisagra Capuch 3;;Rino;par(2 unid);S/ 4.50;;Par;;;0;0;0; S/. -   ;;
;R_0086;Bisagra Capuch 4;;;"4""";;;caja(6par);5;;0;0;5; S/. -   ;;
;R_0087;"Bisagra Capuch 4""";;Indusmel;;S/ 9.00;;Par;;;0;0;0; S/. -   ;;
;R_0088;"Bisagra Fija 1 1/2""";;Halcon;"1 1/2""";;;caja(12par);2;;0;0;2; S/. -   ;;
;R_0089;"Bisagra fija 2 """;;Indusmel;"2""";;;caja(12par);3;;0;0;3; S/. -   ;;
